step,episodes,frames_total,condition,delay,loss,accuracy,gradient_norm,clipped,frames,seconds,diagnostics,first_trial_id
3129,25032,525688,motion_duration_cued_D12,12,1.3858280181884766,0.25,0.3475227355957031,0,23,1.2240374088287354,{},SpatialBattery/train/61973001/motion_duration_cued/25024
3130,25040,525808,motion_duration_cued_D4,4,1.386691689491272,0.25,0.36308443546295166,0,15,0.7765719890594482,{},SpatialBattery/train/61973001/motion_duration_cued/25032
3131,25048,526088,motion_duration_cued_D24,24,1.386722207069397,0.125,0.3441130220890045,0,35,1.822667121887207,{},SpatialBattery/train/61973001/motion_duration_cued/25040
3132,25056,526176,motion_duration_cued_D0,0,1.3868311643600464,0.125,0.36561450362205505,0,11,0.5811965465545654,{},SpatialBattery/train/61973001/motion_duration_cued/25048
3133,25064,526456,motion_duration_cued_D24,24,1.3872041702270508,0.25,0.34838950634002686,0,35,1.8090219497680664,{},SpatialBattery/train/61973001/motion_duration_cued/25056
3134,25072,526576,motion_duration_cued_D4,4,1.3865001201629639,0.25,0.3674258887767792,0,15,0.7817776203155518,{},SpatialBattery/train/61973001/motion_duration_cued/25064
3135,25080,526664,motion_duration_cued_D0,0,1.386327862739563,0.25,0.5193531513214111,0,11,0.5743350982666016,{},SpatialBattery/train/61973001/motion_duration_cued/25072
3136,25088,526848,motion_duration_cued_D12,12,1.3870079517364502,0.125,0.4924708604812622,0,23,1.231339693069458,{},SpatialBattery/train/61973001/motion_duration_cued/25080
3137,25096,526968,motion_duration_cued_D4,4,1.386780023574829,0.25,0.3687736988067627,0,15,0.7774806022644043,{},SpatialBattery/train/61973001/motion_duration_cued/25088
3138,25104,527248,motion_duration_cued_D24,24,1.386834740638733,0.25,0.34999892115592957,0,35,1.8747494220733643,{},SpatialBattery/train/61973001/motion_duration_cued/25096
3139,25112,527336,motion_duration_cued_D0,0,1.38584303855896,0.5,0.6246768832206726,0,11,0.5803072452545166,{},SpatialBattery/train/61973001/motion_duration_cued/25104
3140,25120,527520,motion_duration_cued_D12,12,1.3876363039016724,0.125,0.592885434627533,0,23,1.205615758895874,{},SpatialBattery/train/61973001/motion_duration_cued/25112
3141,25128,527704,motion_duration_cued_D12,12,1.3866360187530518,0.25,0.3467983901500702,0,23,1.213707447052002,{},SpatialBattery/train/61973001/motion_duration_cued/25120
3142,25136,527984,motion_duration_cued_D24,24,1.3862884044647217,0.25,0.3448581397533417,0,35,1.8203198909759521,{},SpatialBattery/train/61973001/motion_duration_cued/25128
3143,25144,528072,motion_duration_cued_D0,0,1.3856287002563477,0.375,0.3681543171405792,0,11,0.5861508846282959,{},SpatialBattery/train/61973001/motion_duration_cued/25136
3144,25152,528192,motion_duration_cued_D4,4,1.3875846862792969,0.125,0.36860987544059753,0,15,0.7882928848266602,{},SpatialBattery/train/61973001/motion_duration_cued/25144
3145,25160,528280,motion_duration_cued_D0,0,1.3857699632644653,0.25,0.3695310056209564,0,11,0.5810377597808838,{},SpatialBattery/train/61973001/motion_duration_cued/25152
3146,25168,528400,motion_duration_cued_D4,4,1.38701331615448,0.25,0.3651656210422516,0,15,0.7792105674743652,{},SpatialBattery/train/61973001/motion_duration_cued/25160
3147,25176,528680,motion_duration_cued_D24,24,1.3871421813964844,0.125,0.3457895517349243,0,35,1.8109016418457031,{},SpatialBattery/train/61973001/motion_duration_cued/25168
3148,25184,528864,motion_duration_cued_D12,12,1.3857866525650024,0.375,0.3441784977912903,0,23,1.222534418106079,{},SpatialBattery/train/61973001/motion_duration_cued/25176
3149,25192,529048,motion_duration_cued_D12,12,1.3863216638565063,0.375,0.5992620587348938,0,23,1.2148520946502686,{},SpatialBattery/train/61973001/motion_duration_cued/25184
3150,25200,529168,motion_duration_cued_D4,4,1.387019157409668,0.125,0.6208978295326233,0,15,0.7813923358917236,{},SpatialBattery/train/61973001/motion_duration_cued/25192
3151,25208,529448,motion_duration_cued_D24,24,1.3863013982772827,0.25,0.0035121997352689505,0,35,1.8501029014587402,{},SpatialBattery/train/61973001/motion_duration_cued/25200
3152,25216,529536,motion_duration_cued_D0,0,1.3864389657974243,0.25,0.01439870148897171,0,11,0.5854110717773438,{},SpatialBattery/train/61973001/motion_duration_cued/25208
3153,25224,529656,motion_duration_cued_D4,4,1.3873534202575684,0.125,0.36544618010520935,0,15,0.7918460369110107,{},SpatialBattery/train/61973001/motion_duration_cued/25216
3154,25232,529744,motion_duration_cued_D0,0,1.3857630491256714,0.375,0.3689277470111847,0,11,0.5741307735443115,{},SpatialBattery/train/61973001/motion_duration_cued/25224
3155,25240,530024,motion_duration_cued_D24,24,1.3868101835250854,0.25,0.3508717715740204,0,35,1.8119847774505615,{},SpatialBattery/train/61973001/motion_duration_cued/25232
3156,25248,530208,motion_duration_cued_D12,12,1.3862478733062744,0.25,0.3531219959259033,0,23,1.2144460678100586,{},SpatialBattery/train/61973001/motion_duration_cued/25240
3157,25256,530488,motion_duration_cued_D24,24,1.3868855237960815,0.125,0.34339144825935364,0,35,1.8146531581878662,{},SpatialBattery/train/61973001/motion_duration_cued/25248
3158,25264,530672,motion_duration_cued_D12,12,1.3860182762145996,0.375,0.3430626690387726,0,23,1.2110962867736816,{},SpatialBattery/train/61973001/motion_duration_cued/25256
3159,25272,530792,motion_duration_cued_D4,4,1.3868036270141602,0.25,0.3648816645145416,0,15,0.7960209846496582,{},SpatialBattery/train/61973001/motion_duration_cued/25264
3160,25280,530880,motion_duration_cued_D0,0,1.3860485553741455,0.25,0.37095820903778076,0,11,0.5687143802642822,{},SpatialBattery/train/61973001/motion_duration_cued/25272
