step,stage,family,condition,episodes,visual_updates,loss,grad_norm,accuracy,frames,step_seconds,wall_utc
103,bridge,chromatic_increment,bridge_integrate_transient,412,1696,1.7458467483520508,11.834156036376953,0.5,5,0.14000000013038516,2026-09-13T01:13:15.659774+00:00
104,bridge,contour,bridge_integrate_transient,416,1712,0.8850410580635071,2.7346532344818115,0.5,4,0.14099999982863665,2026-09-13T01:13:15.795951+00:00
105,bridge,natural_spectrum,bridge_integrate_transient,420,1732,0.8703535199165344,1.886284589767456,0.25,5,0.2029999999795109,2026-09-13T01:13:16.000794+00:00
106,bridge,motion_direction,bridge_recall,424,1752,1.3761961460113525,1.6365323066711426,0.25,5,0.1410000000614673,2026-09-13T01:13:16.145448+00:00
107,bridge,orientation,bridge_recall,428,1772,0.7679572105407715,2.5426714420318604,0.5,5,0.15699999989010394,2026-09-13T01:13:16.308783+00:00
108,bridge,contrast,bridge_recall,432,1792,0.9867725968360901,3.9393908977508545,0.5,5,0.13999999989755452,2026-09-13T01:13:16.444826+00:00
109,bridge,spatial_frequency,bridge_recall,436,1812,0.8397077918052673,3.426971197128296,0.5,5,0.1410000000614673,2026-09-13T01:13:16.583113+00:00
110,bridge,chromatic_increment,bridge_recall,440,1832,0.4860547184944153,5.081575393676758,0.75,5,0.125,2026-09-13T01:13:16.723264+00:00
111,bridge,contour,bridge_recall,444,1852,0.7606043219566345,8.850379943847656,0.5,5,0.15699999989010394,2026-09-13T01:13:16.889286+00:00
112,bridge,natural_spectrum,bridge_recall,448,1872,1.6985089778900146,8.36388111114502,0.5,5,0.21800000010989606,2026-09-13T01:13:17.100263+00:00
113,bridge,motion_direction,anchor,452,1880,0.09635975956916809,5.347522258758545,1.0,2,0.07899999991059303,2026-09-13T01:13:17.180477+00:00
114,bridge,orientation,anchor,456,1888,0.00853344239294529,0.24681022763252258,1.0,2,0.0779999999795109,2026-09-13T01:13:17.262208+00:00
115,bridge,contrast,anchor,460,1896,0.3055357336997986,6.295133113861084,1.0,2,0.0779999999795109,2026-09-13T01:13:17.345832+00:00
116,bridge,spatial_frequency,anchor,464,1904,0.010686357505619526,0.3668053448200226,1.0,2,0.0940000000409782,2026-09-13T01:13:17.427185+00:00
117,bridge,chromatic_increment,anchor,468,1912,0.05140926316380501,0.9451108574867249,1.0,2,0.0779999999795109,2026-09-13T01:13:17.508549+00:00
118,bridge,contour,anchor,472,1920,0.3542899489402771,5.272140979766846,1.0,2,0.0779999999795109,2026-09-13T01:13:17.594194+00:00
119,bridge,natural_spectrum,anchor,476,1928,0.04975637048482895,0.8898470997810364,1.0,2,0.14000000013038516,2026-09-13T01:13:17.736829+00:00
120,bridge,motion_direction,bridge_integrate_visible,480,1948,1.3482074737548828,0.9500404000282288,0.5,5,0.15699999989010394,2026-09-13T01:13:17.892106+00:00
121,bridge,orientation,bridge_integrate_visible,484,1968,0.8163187503814697,1.987541913986206,0.25,5,0.14000000013038516,2026-09-13T01:13:18.035378+00:00
122,bridge,contrast,bridge_integrate_visible,488,1988,0.6597955226898193,0.7248891592025757,0.75,5,0.14099999982863665,2026-09-13T01:13:18.174455+00:00
123,bridge,spatial_frequency,bridge_integrate_visible,492,2008,0.6997785568237305,1.576474666595459,0.75,5,0.1559999999590218,2026-09-13T01:13:18.319817+00:00
124,bridge,chromatic_increment,bridge_integrate_visible,496,2028,1.2173527479171753,9.889002799987793,0.5,5,0.125,2026-09-13T01:13:18.456728+00:00
125,bridge,contour,bridge_integrate_visible,500,2044,0.6897798776626587,0.9042487144470215,0.5,4,0.125,2026-09-13T01:13:18.597126+00:00
126,bridge,natural_spectrum,bridge_integrate_visible,504,2064,0.6858125925064087,0.9580461978912354,0.75,5,0.2029999999795109,2026-09-13T01:13:18.794350+00:00
127,bridge,motion_direction,bridge_integrate_transient,508,2084,1.294327735900879,0.9581180214881897,0.75,5,0.1559999999590218,2026-09-13T01:13:18.958159+00:00
128,bridge,orientation,bridge_integrate_transient,512,2104,0.8290849924087524,1.8384370803833008,0.25,5,0.14000000013038516,2026-09-13T01:13:19.099854+00:00
129,bridge,contrast,bridge_integrate_transient,516,2124,0.6901811361312866,0.6669720411300659,0.5,5,0.14099999982863665,2026-09-13T01:13:19.241071+00:00
130,bridge,spatial_frequency,bridge_integrate_transient,520,2144,0.6253496408462524,1.0759594440460205,0.5,5,0.1410000000614673,2026-09-13T01:13:19.395462+00:00
131,bridge,chromatic_increment,bridge_integrate_transient,524,2164,0.8539385795593262,7.182340621948242,0.75,5,0.14099999982863665,2026-09-13T01:13:19.536930+00:00
132,bridge,contour,bridge_integrate_transient,528,2180,0.6478868722915649,0.8116649389266968,0.75,4,0.125,2026-09-13T01:13:19.672136+00:00
133,bridge,natural_spectrum,bridge_integrate_transient,532,2200,0.6654974222183228,1.0861824750900269,0.5,5,0.23400000017136335,2026-09-13T01:13:19.901734+00:00
134,bridge,motion_direction,bridge_recall,536,2220,1.367685079574585,0.862644612789154,0.5,5,0.15699999989010394,2026-09-13T01:13:20.061564+00:00
135,bridge,orientation,bridge_recall,540,2240,0.7270590662956238,3.905820608139038,0.5,5,0.13999999989755452,2026-09-13T01:13:20.203315+00:00
136,bridge,contrast,bridge_recall,544,2260,0.7721574306488037,1.8571393489837646,0.5,5,0.15600000019185245,2026-09-13T01:13:20.355806+00:00
137,bridge,spatial_frequency,bridge_recall,548,2280,0.48056209087371826,3.2136504650115967,1.0,5,0.14099999982863665,2026-09-13T01:13:20.505201+00:00
138,bridge,chromatic_increment,bridge_recall,552,2300,2.342832326889038,13.5759916305542,0.25,5,0.1559999999590218,2026-09-13T01:13:20.663325+00:00
139,bridge,contour,bridge_recall,556,2320,0.7452394962310791,2.939256191253662,0.5,5,0.1559999999590218,2026-09-13T01:13:20.831133+00:00
140,bridge,natural_spectrum,bridge_recall,560,2340,0.49863916635513306,7.147167682647705,0.75,5,0.20300000021234155,2026-09-13T01:13:21.030340+00:00
141,bridge,motion_direction,anchor,564,2348,0.029568146914243698,1.0152900218963623,1.0,2,0.0779999999795109,2026-09-13T01:13:21.114055+00:00
142,bridge,orientation,anchor,568,2356,0.05127386376261711,1.7645585536956787,1.0,2,0.06300000008195639,2026-09-13T01:13:21.191034+00:00
