step,stage,family,condition,episodes,visual_updates,loss,grad_norm,clipped,accuracy,diagnostics,frames,step_seconds,wall_utc
95,focused,motion_direction,motion_L2,760,5576,1.3959039449691772,0.3263866603374481,0,0.25,{},5,0.17626895802095532,2026-09-13T03:41:05.892372+00:00
96,focused,orientation,orientation_recall_minimal,768,5616,0.7290216088294983,0.3012731969356537,0,0.25,{},5,0.16474455106072128,2026-09-13T03:41:06.058725+00:00
97,focused,motion_direction,motion_L8,776,5704,1.3598761558532715,0.36268603801727295,0,0.25,{},11,0.3778127618134022,2026-09-13T03:41:06.438737+00:00
98,focused,orientation,orientation_recall_D4,784,5792,0.7009459733963013,0.3275008499622345,0,0.375,{},11,0.34298996604047716,2026-09-13T03:41:06.783935+00:00
99,focused,motion_direction,motion_L2,792,5832,1.3847830295562744,0.32319730520248413,0,0.25,{},5,0.17946701706387103,2026-09-13T03:41:06.964965+00:00
100,focused,orientation,orientation_recall_minimal,800,5872,0.7116585969924927,0.3027344048023224,0,0.375,{},5,0.16775173088535666,2026-09-13T03:41:07.134542+00:00
101,focused,motion_direction,motion_anchor,808,5888,0.30380937457084656,12.266392707824707,1,0.75,{},2,0.08426488912664354,2026-09-13T03:41:07.219889+00:00
102,focused,motion_direction,motion_L8,816,5976,1.3537510633468628,0.3424838185310364,0,0.5,{},11,0.37759236292913556,2026-09-13T03:41:07.599618+00:00
103,focused,orientation,orientation_recall_D4,824,6064,0.7000398635864258,0.23055967688560486,0,0.5,{},11,0.33661906607449055,2026-09-13T03:41:07.940329+00:00
104,focused,motion_direction,motion_L2,832,6104,1.3693071603775024,0.38434892892837524,0,0.25,{},5,0.1998542658984661,2026-09-13T03:41:08.141826+00:00
105,focused,orientation,orientation_recall_minimal,840,6144,0.7444481253623962,0.33824071288108826,0,0.125,{},5,0.17222988395951688,2026-09-13T03:41:08.315665+00:00
106,focused,motion_direction,motion_L8,848,6232,1.3524221181869507,0.30334874987602234,0,0.375,{},11,0.3757607650477439,2026-09-13T03:41:08.694053+00:00
107,focused,orientation,orientation_recall_D4,856,6320,0.7053368091583252,0.3320632576942444,0,0.75,{},11,0.36263271886855364,2026-09-13T03:41:09.059230+00:00
108,focused,motion_direction,motion_L2,864,6360,1.4155099391937256,0.37448763847351074,0,0.0,{},5,0.19770857994444668,2026-09-13T03:41:09.258456+00:00
109,focused,orientation,orientation_recall_minimal,872,6400,0.690127968788147,0.28296908736228943,0,0.375,{},5,0.16773795196786523,2026-09-13T03:41:09.427790+00:00
110,focused,motion_direction,motion_L8,880,6488,1.3899400234222412,0.3513549864292145,0,0.25,{},11,0.37728063599206507,2026-09-13T03:41:09.807297+00:00
111,focused,orientation,orientation_anchor,888,6504,0.006693931296467781,0.23591740429401398,0,1.0,{},2,0.07589221210218966,2026-09-13T03:41:09.884047+00:00
112,focused,orientation,orientation_recall_D4,896,6592,0.6957249045372009,0.3197689950466156,0,0.625,{},11,0.34814494219608605,2026-09-13T03:41:10.234405+00:00
113,focused,motion_direction,motion_L2,904,6632,1.3894673585891724,0.36383476853370667,0,0.375,{},5,0.18120864615775645,2026-09-13T03:41:10.417578+00:00
114,focused,orientation,orientation_recall_minimal,912,6672,0.6946038007736206,0.354478120803833,0,0.375,{},5,0.17418688000179827,2026-09-13T03:41:10.593499+00:00
115,focused,motion_direction,motion_L8,920,6760,1.392762541770935,0.37998223304748535,0,0.125,{},11,0.42843462713062763,2026-09-13T03:41:11.024572+00:00
116,focused,orientation,orientation_recall_D4,928,6848,0.6896775960922241,0.3291482627391815,0,0.625,{},11,0.3415443249978125,2026-09-13T03:41:11.368559+00:00
117,focused,motion_direction,motion_L2,936,6888,1.4125949144363403,0.33397239446640015,0,0.25,{},5,0.17508805496618152,2026-09-13T03:41:11.545121+00:00
118,focused,orientation,orientation_recall_minimal,944,6928,0.6680561900138855,0.32682397961616516,0,0.625,{},5,0.16630277200601995,2026-09-13T03:41:11.713094+00:00
119,focused,motion_direction,motion_L8,952,7016,1.3894736766815186,0.4741522967815399,0,0.25,{},11,0.3745283030439168,2026-09-13T03:41:12.089711+00:00
120,focused,orientation,orientation_recall_D4,960,7104,0.7047433853149414,0.31380319595336914,0,0.25,{},11,0.35055352794006467,2026-09-13T03:41:12.442111+00:00
121,focused,motion_direction,motion_anchor,968,7120,0.2241143137216568,13.332620620727539,1,0.875,{},2,0.08288918808102608,2026-09-13T03:41:12.526006+00:00
122,focused,motion_direction,motion_L2,976,7160,1.3999149799346924,0.31752029061317444,0,0.125,{},5,0.17368477396667004,2026-09-13T03:41:12.701192+00:00
123,focused,orientation,orientation_recall_minimal,984,7200,0.6913913488388062,0.29720672965049744,0,0.625,{},5,0.17334644589573145,2026-09-13T03:41:12.876247+00:00
124,focused,motion_direction,motion_L8,992,7288,1.417007565498352,0.3550841510295868,0,0.125,{},11,0.37810413003899157,2026-09-13T03:41:13.256371+00:00
125,focused,orientation,orientation_recall_D4,1000,7376,0.6757835149765015,0.2855437397956848,0,0.5,{},11,0.35444264207035303,2026-09-13T03:41:13.613101+00:00
126,focused,motion_direction,motion_L2,1008,7416,1.3507472276687622,0.3404180407524109,0,0.625,{},5,0.18115162616595626,2026-09-13T03:41:13.795729+00:00
127,focused,orientation,orientation_recall_minimal,1016,7456,0.6832717061042786,0.3078671991825104,0,0.625,{},5,0.16842671786434948,2026-09-13T03:41:13.965752+00:00
128,focused,motion_direction,motion_L8,1024,7544,1.4022809267044067,0.32671576738357544,0,0.0,{},11,0.38016102695837617,2026-09-13T03:41:14.347867+00:00
129,focused,orientation,orientation_recall_D4,1032,7632,0.6909505724906921,0.29116466641426086,0,0.5,"{""state_mean"": {""inactive_fraction"": 0.6348544034090909, ""rectifier_off_fraction"": 0.7375266335227273, ""excitatory_mean"": 0.020352140957997603, ""inhibitory_mean"": 0.027605674229562283, ""tau_r_mean"": 4.326874732971191, ""tau_a_mean"": 34.605369567871094, ""adaptation_gain_mean"": 0.05008890852332115, ""state0_rms"": 0.04692637226120992, ""state0_max"": 0.20983475311235947, ""state1_rms"": 0.006712944723073055, ""state1_max"": 0.038269688967954026}, ""state_peak"": {""state0_max"": 0.2641087472438812, ""state1_max"": 0.07248461991548538}, ""early_representation_gradient_norm"": 5.846469139214605e-05, ""late_representation_gradient_norm"": 0.0008172686211764812, ""core_gradient_norm"": 0.0033664600923657417, ""recurrent_gradient_rms"": 1.0518929727254545e-08, ""recurrent_gradient_median_abs"": 0.0, ""current_gradient_fraction_below_adam_eps"": 0.8604278564453125, ""raw_recurrent_gradient_norm"": 2.6928460101771634e-06, ""raw_recurrent_relative_gradient_norm"": 1.866699461672283e-09, ""effective_recurrent_relative_update"": 8.476809307467192e-05, ""raw_recurrent_relative_update"": 1.4344751434691716e-05}",11,0.3522966569289565,2026-09-13T03:41:14.703423+00:00
130,focused,motion_direction,motion_L2,1040,7672,1.3512547016143799,0.34211423993110657,0,0.375,{},5,0.18156464397907257,2026-09-13T03:41:14.887848+00:00
131,focused,orientation,orientation_anchor,1048,7688,0.0046768514439463615,0.163589745759964,0,1.0,{},2,0.08009829511865973,2026-09-13T03:41:14.969013+00:00
132,focused,orientation,orientation_recall_minimal,1056,7728,0.6767949461936951,0.3043365776538849,0,0.625,{},5,0.16415075515396893,2026-09-13T03:41:15.134632+00:00
133,focused,motion_direction,motion_L8,1064,7816,1.4179131984710693,0.33377447724342346,0,0.125,{},11,0.37076121801510453,2026-09-13T03:41:15.507757+00:00
134,focused,orientation,orientation_recall_D4,1072,7904,0.7006519436836243,0.35552552342414856,0,0.375,{},11,0.3436457219067961,2026-09-13T03:41:15.853559+00:00
135,focused,motion_direction,motion_L2,1080,7944,1.391588807106018,0.32334694266319275,0,0.375,{},5,0.16980772907845676,2026-09-13T03:41:16.024908+00:00
136,focused,orientation,orientation_recall_minimal,1088,7984,0.6762896180152893,0.36811044812202454,0,0.5,{},5,0.1742746310774237,2026-09-13T03:41:16.200997+00:00
137,focused,motion_direction,motion_L8,1096,8072,1.375562310218811,0.3602514863014221,0,0.5,{},11,0.4185438100248575,2026-09-13T03:41:16.622277+00:00
138,focused,orientation,orientation_recall_D4,1104,8160,0.6941745281219482,0.2791609764099121,0,0.375,{},11,0.33963807695545256,2026-09-13T03:41:16.964257+00:00
139,focused,motion_direction,motion_L2,1112,8200,1.371654987335205,0.3279188871383667,0,0.25,{},5,0.17417191085405648,2026-09-13T03:41:17.140274+00:00
140,focused,orientation,orientation_recall_minimal,1120,8240,0.7091348767280579,0.3364059031009674,0,0.5,{},5,0.16798953083343804,2026-09-13T03:41:17.309878+00:00
141,focused,motion_direction,motion_anchor,1128,8256,0.009274604730308056,0.9316055774688721,0,1.0,{},2,0.08483852492645383,2026-09-13T03:41:17.395915+00:00
142,focused,motion_direction,motion_L8,1136,8344,1.3665955066680908,0.3669948875904083,0,0.125,{},11,0.37096153595484793,2026-09-13T03:41:17.769681+00:00
143,focused,orientation,orientation_recall_D4,1144,8432,0.6971771717071533,0.30851054191589355,0,0.375,{},11,0.34821551316417754,2026-09-13T03:41:18.119684+00:00
144,focused,motion_direction,motion_L2,1152,8472,1.3791658878326416,0.28397223353385925,0,0.5,{},5,0.18330558203160763,2026-09-13T03:41:18.304746+00:00
145,focused,orientation,orientation_recall_minimal,1160,8512,0.6881408095359802,0.3024700880050659,0,0.5,{},5,0.1636391889769584,2026-09-13T03:41:18.469878+00:00
146,focused,motion_direction,motion_L8,1168,8600,1.4135222434997559,0.3716106712818146,0,0.0,{},11,0.385298804147169,2026-09-13T03:41:18.857384+00:00
147,focused,orientation,orientation_recall_D4,1176,8688,0.6931127905845642,0.25089317560195923,0,0.625,{},11,0.34673159196972847,2026-09-13T03:41:19.206522+00:00
148,focused,motion_direction,motion_L2,1184,8728,1.3738356828689575,0.3273170292377472,0,0.25,{},5,0.17674268502742052,2026-09-13T03:41:19.384661+00:00
149,focused,orientation,orientation_recall_minimal,1192,8768,0.7005112767219543,0.344801127910614,0,0.25,{},5,0.16722066584043205,2026-09-13T03:41:19.553382+00:00
150,focused,motion_direction,motion_L8,1200,8856,1.3784316778182983,0.3877212107181549,0,0.25,{},11,0.3820668950211257,2026-09-13T03:41:19.938541+00:00
151,focused,orientation,orientation_anchor,1208,8872,0.022413723170757294,1.0807801485061646,1,1.0,{},2,0.07538597518578172,2026-09-13T03:41:20.014812+00:00
