step,episodes,frames_total,cell,loss,accuracy,gradient_norm,clipped,frames,seconds,diagnostics
8588,68704,1090576,motion_D24,1.3080710172653198,0.125,20.063798904418945,1,35,0.7828974723815918,{}
8589,68712,1090712,binding_D12,0.5255460143089294,0.875,30.23472785949707,1,17,0.3781163692474365,{}
8590,68720,1090944,binding_D24,2.2351724737745826e-07,1.0,6.907164788572118e-05,0,29,0.6409430503845215,{}
8591,68728,1091224,motion_D24,1.0741411447525024,0.25,76.37166595458984,1,35,0.7909057140350342,{}
8592,68736,1091456,single_D24,0.15237270295619965,1.0,16.93837547302246,1,29,0.6360466480255127,{}
8593,68744,1091688,binding_D24,4.470348002882929e-08,1.0,1.1522229215188418e-05,0,29,0.636859655380249,{}
8594,68752,1091824,single_D12,0.5294129848480225,0.75,40.07563400268555,1,17,0.3798179626464844,{}
8595,68760,1092104,motion_D24,1.616044521331787,0.25,63.5412483215332,1,35,0.8026463985443115,{}
8596,68768,1092384,motion_D24,1.2432950735092163,0.375,30.338212966918945,1,35,0.7869160175323486,{}
8597,68776,1092472,motion_D0,1.2769907712936401,0.5,84.99203491210938,1,11,0.2647244930267334,{}
8598,68784,1092752,motion_D24,1.3185865879058838,0.25,67.46424865722656,1,35,0.7644565105438232,{}
8599,68792,1093032,motion_D24,1.5038870573043823,0.5,57.39808654785156,1,35,0.8207902908325195,{}
8600,68800,1093072,single_D0,0.000493515282869339,1.0,0.11469116061925888,0,5,0.1202998161315918,{}
8601,68808,1093160,motion_D0,1.0883009433746338,0.375,66.82978820800781,1,11,0.2672557830810547,{}
8602,68816,1093232,single_D4,0.0001697441330179572,1.0,0.014849855564534664,0,9,0.2006089687347412,{}
8603,68824,1093512,motion_D24,1.228621006011963,0.25,66.97591400146484,1,35,0.8008537292480469,{}
8604,68832,1093552,binding_D0,0.1768459677696228,0.875,24.15950584411621,1,5,0.11678862571716309,{}
8605,68840,1093688,binding_D12,0.16856494545936584,0.875,25.658632278442383,1,17,0.3713819980621338,{}
8606,68848,1093760,binding_D4,0.0,1.0,2.857972322342639e-12,0,9,0.20204973220825195,{}
8607,68856,1094040,motion_D24,1.3983798027038574,0.375,72.88882446289062,1,35,0.784102201461792,{}
8608,68864,1094320,motion_D24,1.0428175926208496,0.375,30.553138732910156,1,35,0.7851541042327881,{}
8609,68872,1094456,binding_D12,0.0,1.0,4.635323791468693e-10,0,17,0.3728971481323242,{}
8610,68880,1094528,binding_D4,1.4901160305669237e-08,1.0,4.3004474719055e-06,0,9,0.20165705680847168,{}
8611,68888,1094616,motion_D0,1.3923308849334717,0.375,88.26276397705078,1,11,0.26334571838378906,{}
8612,68896,1094704,motion_D0,0.9870326519012451,0.5,89.20338439941406,1,11,0.2653515338897705,{}
8613,68904,1094776,binding_D4,7.822865882189944e-06,1.0,0.0032308422960340977,0,9,0.2147531509399414,{}
8614,68912,1094864,motion_D0,1.93946373462677,0.375,61.803775787353516,1,11,0.2608339786529541,{}
8615,68920,1094904,single_D0,0.0007141890237107873,1.0,0.0940532237291336,0,5,0.11333656311035156,{}
8616,68928,1095184,motion_D24,0.9728009104728699,0.625,13.510539054870605,1,35,0.7754559516906738,{}
8617,68936,1095320,single_D12,0.5125934481620789,0.75,47.18082046508789,1,17,0.3853189945220947,{}
8618,68944,1095360,single_D0,0.001890884363092482,1.0,0.41809767484664917,0,5,0.11603522300720215,{}
8619,68952,1095592,single_D24,0.5956531763076782,0.875,29.546632766723633,1,29,0.6314311027526855,{}
8620,68960,1095632,binding_D0,0.0,1.0,3.11783088235984e-09,0,5,0.11835289001464844,{}
8621,68968,1095720,motion_D0,1.25606107711792,0.625,7.36273717880249,1,11,0.26676511764526367,{}
8622,68976,1095792,single_D4,0.00020080979447811842,1.0,0.03622395917773247,0,9,0.2006216049194336,{}
8623,68984,1096072,motion_D24,1.456011176109314,0.25,96.32247924804688,1,35,0.8043110370635986,{}
8624,68992,1096112,single_D0,0.02155357040464878,1.0,3.7496418952941895,1,5,0.12755560874938965,{}
8625,69000,1096248,single_D12,0.4849463105201721,0.875,38.647125244140625,1,17,0.38170909881591797,{}
8626,69008,1096528,motion_D24,1.0294939279556274,0.5,56.20615005493164,1,35,0.7894339561462402,{}
8627,69016,1096616,motion_D0,1.4088521003723145,0.5,89.85203552246094,1,11,0.2684004306793213,{}
8628,69024,1096704,motion_D0,1.6037100553512573,0.25,126.89118957519531,1,11,0.265272855758667,{}
8629,69032,1096792,motion_D0,0.858646035194397,0.5,40.975215911865234,1,11,0.2662324905395508,{}
8630,69040,1097072,motion_D24,1.3743503093719482,0.375,51.5750617980957,1,35,0.7846605777740479,{}
8631,69048,1097112,single_D0,0.0006404321757145226,1.0,0.1543959379196167,0,5,0.11531758308410645,{}
8632,69056,1097184,binding_D4,0.0001261342695215717,1.0,0.041435401886701584,0,9,0.2009596824645996,{}
8633,69064,1097256,single_D4,0.005528972018510103,1.0,1.1858669519424438,1,9,0.2017192840576172,{}
8634,69072,1097296,binding_D0,3.725284614120028e-07,1.0,0.0001200492333737202,0,5,0.11760425567626953,{}
8635,69080,1097384,motion_D0,1.3555885553359985,0.625,67.3972396850586,1,11,0.27622485160827637,{}
8636,69088,1097424,binding_D0,2.9802318834981634e-08,1.0,9.920552656694781e-06,0,5,0.11873173713684082,{}
8637,69096,1097496,single_D4,0.319719523191452,0.875,32.98601150512695,1,9,0.20263147354125977,{}
8638,69104,1097728,binding_D24,7.152548846534046e-07,1.0,0.00013260783453006297,0,29,0.6268138885498047,{}
8639,69112,1098008,motion_D24,1.4074960947036743,0.5,43.768287658691406,1,35,0.7979321479797363,{}
8640,69120,1098240,binding_D24,0.0,1.0,7.78148717017757e-07,0,29,0.6298720836639404,{}
8641,69128,1098312,single_D4,0.0007423301576636732,1.0,0.314769983291626,0,9,0.20634055137634277,{}
8642,69136,1098384,single_D4,0.00155499461106956,1.0,0.2507625222206116,0,9,0.2019205093383789,{}
8643,69144,1098616,single_D24,0.7283676862716675,0.625,63.25991439819336,1,29,0.6376218795776367,{}
